sStart Time, Thu Feb 23 14:42:53 GMT-0700 2023,,
Energy calibration,  Offset: -0.06771931052207947, Slope: 0.1000848338007927, Quadratic: 0
Live Time (s),433.07,,
Real Time (s),522.36,,
Elapsed Computational,1000000,,
Spectrum,,,
Channel, Energy (keV), Counts,
1909,190.9942284,1136,
1910,191.0943132,1190,
1911,191.1943981,1111,
1912,191.2944829,1188,
1913,191.3945678,1153,
1914,191.4946526,1080,
1915,191.5947374,1105,
1916,191.6948223,1082,
1917,191.7949071,1145,
1918,191.8949919,1151,
1919,191.9950768,1115,
1920,192.0951616,1102,
1921,192.1952464,1127,
1922,192.2953313,1220,
1923,192.3954161,1153,
1924,192.4955009,1130,
1925,192.5955858,1122,
1926,192.6956706,1116,
1927,192.7957554,1159,
1928,192.8958403,1159,
1929,192.9959251,1104,
1930,193.0960099,1141,
1931,193.1960948,1123,
1932,193.2961796,1156,
1933,193.3962644,1142,
1934,193.4963493,1171,
1935,193.5964341,1143,
1936,193.6965189,1146,
1937,193.7966038,1194,
1938,193.8966886,1174,
1939,193.9967734,1141,
1940,194.0968583,1117,
1941,194.1969431,1115,
1942,194.2970279,1122,
1943,194.3971128,1196,
1944,194.4971976,1134,
1945,194.5972824,1152,
1946,194.6973673,1102,
1947,194.7974521,1009,
1948,194.8975369,1133,
1949,194.9976218,1188,
1950,195.0977066,1124,
1951,195.1977914,1135,
1952,195.2978763,1116,
1953,195.3979611,1131,
1954,195.4980459,1119,
1955,195.5981308,1111,
1956,195.6982156,1150,
1957,195.7983004,1088,
1958,195.8983853,1083,
1959,195.9984701,1138,
1960,196.0985549,1156,
1961,196.1986398,1159,
1962,196.2987246,1165,
1963,196.3988094,1132,
1964,196.4988943,1059,
1965,196.5989791,1114,
1966,196.6990639,1126,
1967,196.7991488,1088,
1968,196.8992336,1181,
1969,196.9993184,1130,
1970,197.0994033,1137,
1971,197.1994881,1144,
1972,197.2995729,1159,
1973,197.3996578,1105,
1974,197.4997426,1153,
1975,197.5998274,1134,
1976,197.6999123,1124,
1977,197.7999971,1121,
1978,197.9000819,1132,
1979,198.0001668,1086,
1980,198.1002516,1104,
1981,198.2003364,1138,
1982,198.3004213,1090,
1983,198.4005061,1166,
1984,198.500591,1182,
1985,198.6006758,1108,
1986,198.7007606,1190,
1987,198.8008455,1055,
1988,198.9009303,1132,
1989,199.0010151,1144,
1990,199.1011,1159,
1991,199.2011848,1183,
1992,199.3012696,1117,
1993,199.4013545,1085,
1994,199.5014393,1144,
1995,199.6015241,1056,
1996,199.701609,1054,
1997,199.8016938,1102,
1998,199.9017786,1130,
1999,200.0018635,1097,
2000,200.1019483,1139,
2001,200.2020331,1101,
2002,200.302118,1128,
2003,200.4022028,1185,
2004,200.5022876,1104,
2005,200.6023725,1085,
2006,200.7024573,1109,
2007,200.8025421,1054,
2008,200.902627,1113,
2009,201.0027118,1087,
2010,201.1027966,1112,
2011,201.2028815,1100,
2012,201.3029663,1154,
2013,201.4030511,1151,
2014,201.503136,1060,
2015,201.6032208,1123,
2016,201.7033056,1128,
2017,201.8033905,1049,
2018,201.9034753,1088,
2019,202.0035601,1170,
2020,202.103645,1117,
2021,202.2037298,1079,
2022,202.3038146,1118,
2023,202.4038995,1111,
2024,202.5039843,1114,
2025,202.6040691,1148,
2026,202.704154,1104,
2027,202.8042388,1108,
2028,202.9043236,1057,
2029,203.0044085,1146,
2030,203.1044933,1076,
2031,203.2045781,1069,
2032,203.304663,1112,
2033,203.4047478,1122,
2034,203.5048326,1064,
2035,203.6049175,1049,
2036,203.7050023,1088,
2037,203.8050871,1094,
2038,203.905172,1160,
2039,204.0052568,1107,
2040,204.1053416,1113,
2041,204.2054265,1051,
2042,204.3055113,1104,
2043,204.4055961,1114,
2044,204.505681,1092,
